Selection,Log_Perplexity,Perplexity,Domain
Top 1,2.534661882876415,12.612165737822684,french-qa
Top 2,1.9183708960032193,6.809855465016469,french-qa
Top 3,1.8136299914942475,6.132668611380906,french-qa
Top 4,1.7824091608970762,5.944159619237895,french-qa
Top 5,1.7681964609930012,5.860274590821165,french-qa
Top 6,1.7628878574223317,5.829247145273379,french-qa
Top 1,1.521578722259035,4.579449169655334,english
Top 2,1.2864911656379165,3.6200620466085893,english
Top 3,1.2314075095301116,3.426048339927185,english
Top 4,1.2108087331783433,3.356197823818538,english
Top 5,1.202467558690897,3.3283196222632125,english
Top 6,1.1988274878754788,3.316226326721038,english
Top 1,2.999954702334839,20.08462711586777,arxiv
Top 2,2.656671833227485,14.248787754373476,arxiv
Top 3,2.5619841437306223,12.96150931625251,arxiv
Top 4,2.5343093657999147,12.607720517582505,arxiv
Top 5,2.523396400205151,12.470880918313576,arxiv
Top 6,2.5184774773436964,12.409688241474306,arxiv
Top 1,2.066703375220834,7.89874096474594,aime-math
Top 2,1.7108774314754205,5.533814891408486,aime-math
Top 3,1.6156418313284127,5.031116015288193,aime-math
Top 4,1.5902919165554001,4.905180622779816,aime-math
Top 5,1.579624188827755,4.853131607402375,aime-math
Top 6,1.5749698823438396,4.830596129686121,aime-math
Top 1,2.678548088419478,14.56393239561693,chinese
Top 2,2.3050923918249024,10.0251044473326,chinese
Top 3,2.2089879196442794,9.106495222620419,chinese
Top 4,2.174605766150722,8.7987156867942,chinese
Top 5,2.1600015383157145,8.671150997421037,chinese
Top 6,2.1550330389858114,8.628175240419003,chinese
Top 1,1.9432411502995885,6.981341918983422,github
Top 2,1.7523655923715769,5.768231834358299,github
Top 3,1.6983478775066698,5.464911226595213,github
Top 4,1.6775513776037314,5.352433822752273,github
Top 5,1.6718761996156777,5.3221438399580565,github
Top 6,1.6660806776862662,5.291388446485246,github
Top 1,1.9582309051175324,7.086778784798676,gsm8k
Top 2,1.7261950870803302,5.619232490655174,gsm8k
Top 3,1.6627111696859895,5.273589075184792,gsm8k
Top 4,1.6428060860785154,5.169655676842288,gsm8k
Top 5,1.6292479672592541,5.100037880538447,gsm8k
Top 6,1.6215541956360024,5.060949913575798,gsm8k
